Glyma_ID	Description	Initial_protein_contentAmb	Initial_protein_contentEle	mRNA_ele	mRNA_Amb	Ele:Amb	EleMutant:Amb	AmbMutant:Amb
Glyma.01G026700	GGAT	4.576365858	4.139831453	4.139831453	4.576365858	0.95111	0.951110468	1
Glyma.01G115900	"CAB29.1, Chloro"	1.27908	0.865265167	0.865265167	1.27908	0.82248	0.822480777	1
Glyma.01G180800	"PSBP1, Chloro"	1.58139	1.403779341	1.403779341	1.58139	0.94217	0.942171427	1
Glyma.02G064700	"CAB6, Chloro"	1.27908	0.907057933	0.907057933	1.27908	0.8421	0.841986261	1.000005203
Glyma.02G080800	"CAB1, Chloro"	1.27908	1.001245517	1.001245517	1.27908	0.78244	0.782954465	1.001393578
Glyma.02G094900	"PSBP Like-1, Chloro"	1.346985	1.125194053	1.125194053	1.346985	0.89724	0.857709754	1.00165907
Glyma.02G249600	"RCA, Chloro"	1.2	0.898773885	0.898773885	1.2	0.86544	0.865435288	1
Glyma.02G282500	"PSBP1, Chloro"	1.264275	0.80288324	0.80288324	1.264275	0.7969	0.796902925	1
Glyma.02G309500	LHCA3	1.27908	1.164749113	1.164749113	1.27908	0.95426	0.954261363	1
Glyma.03G068100	"RCA, Chloro"	1.2	1.154641742	1.154641742	1.2	0.98092	0.980918677	1
Glyma.03G114600	"PSBP1, Chloro"	1.07397	0.905513456	0.905513456	1.07397	0.91823	0.918229792	1
Glyma.03G123100	PPD6	1.346985	0.891141228	0.891141228	1.346985	0.81338	0.813377002	1
Glyma.03G185800	T3PI	0.027777778	0.022236115	0.022236115	0.027777778	0.89471	0.89470673	1
Glyma.03G230300	PSBP	1.346985	1.174047282	1.174047282	1.346985	0.93358	0.933435916	1.00001356
Glyma.03G253500	"VDE, Chloro"	0.163	0.153720088	0.153720088	0.163	0.97112	0.971116895	1
Glyma.03G262300	LHCA2	1.27908	0.689311441	0.689311441	1.27908	0.73411	0.734106195	1
Glyma.04G014500	"PPD3, Chloro"	1.346985	0.884791339	0.884791339	1.346985	0.81047	0.810473934	1
Glyma.04G015900	GAPDH	14.54213822	11.43885112	11.43885112	14.54213822	0.8869	0.886904931	1
Glyma.04G020300	"PETE, Chloro"	1.4292036	1.407892071	1.407892071	1.4292036	0.99252	0.992516261	1
Glyma.04G051200	GDH	37.42118172	32.56776973	32.56776973	37.42118172	0.9329	0.932900359	1
Glyma.04G066000	ATPSynthase	4.645454545	4.20564011	4.20564011	4.645454545	0.95148	0.951484999	1
Glyma.04G112800	PSI_PSAK	0.405	0.340070132	0.340070132	0.405	0.91634	0.916340187	1
Glyma.04G167900	"CAB4, Chloro"	1.27908	0.686177035	0.686177035	1.27908	0.73244	0.732435246	1
