Glyma_ID	Description	Initial_protein_contentAmb	Initial_protein_contentEle	mRNA_ele	mRNA_Amb
Glyma.01G026700	GGAT	4.576365858	4.139831453	5.016552576	5.545534931
Glyma.01G115900	CAB29.1, Chloro	1.27908	0.865265167	4750.143661	7021.909565
Glyma.01G180800	PSBP1, Chloro	1.58139	1.403779341	6677.961166	7522.878205
Glyma.02G064700	CAB6, Chloro	1.27908	0.907057933	4782.363425	6743.808954
Glyma.02G080800	CAB1, Chloro	1.27908	1.001245517	4353.176915	5561.13504
Glyma.02G094900	PSBP Like-1, Chloro	1.346985	1.125194053	329.7388509	394.7348325
Glyma.02G249600	RCA, Chloro	1.2	0.898773885	3434.244661	4585.239583
Glyma.02G282500	PSBP1, Chloro	1.264275	0.80288324	2921.415481	4600.261123
Glyma.02G309500	LHCA3	1.27908	1.164749113	10663.33593	11710.04087
Glyma.03G068100	RCA, Chloro	1.2	1.154641742	374.540912	389.2541539
Glyma.03G114600	PSBP1, Chloro	1.07397	0.905513456	6475.924941	7680.668977
Glyma.03G123100	PPD6	1.346985	0.891141228	350.2265956	529.3773376
Glyma.03G185800	T3PI	0.027777778	0.022236115	502.6665666	627.9406268
Glyma.03G230300	PSBP	1.346985	1.174047282	112.8924299	129.521538
Glyma.03G253500	VDE, Chloro	0.163	0.153720088	8871.229413	9406.775716
Glyma.03G262300	LHCA2	1.27908	0.689311441	1942.976299	3605.369035
Glyma.04G014500	PPD3, Chloro	1.346985	0.884791339	1069.733977	1628.537213
Glyma.04G015900	GAPDH	14.54213822	11.43885112	363.4477867	462.048845
Glyma.04G020300	PETE, Chloro	1.4292036	1.407892071	9506.77387	9650.679706
Glyma.04G051200	GDH	37.42118172	32.56776973	159.8260552	183.6441336
Glyma.04G066000	ATPSynthase	4.645454545	4.20564011	7039.162943	7775.29951
Glyma.04G112800	PSI_PSAK	0.405	0.340070132	6444.886311	7675.413713
Glyma.04G167900	CAB4, Chloro	1.27908	0.686177035	2712.808378	5056.856705
Glyma.04G209900	PPD2, Chloro	1.346985	1.018580035	68.07374093	90.02170159
Glyma.04G215800	PSAN, Chloro	0.829305	0.702417889	6306.293476	7445.483368
Glyma.04G241000	PPD4, Chloro	1.346985	0.866608081	824.6499838	1281.768752
Glyma.04G242000	Thioredoxin	5.85	5.520602452	182.371947	193.2535261
Glyma.04G249700	PSBS, Chloro	1.26036	1.263317599	8842.907444	8822.204987
Glyma.05G022900	PSAIII, Chloro	1.087785	0.685685779	3470.242554	5505.258988
Glyma.05G025300	Ru5PE	0.038732394	0.024497293	275.8105045	436.0808731
Glyma.05G048000	F-ATPase	1.327272727	1.095663639	3842.475846	4654.725422
Glyma.05G112100	FDXC2	0.88695	0.606989045	658.7904764	962.6437535
Glyma.05G132600	Thioredoxin O1, Mito	5.85	4.882993514	3495.29058	4187.482501
