Glyma_ID	Description	Initial_protein_contentAmb	Initial_protein_contentEle	mRNA_ele	mRNA_Amb	Averages_Elevated	Averages_ambient	mRNA_eleMutant	mRNA_ambMutant	MutantEleByWTAmb	MutantAmbByWTAmb	Ele:Amb	EleMutant:Amb	AmbMutant:Amb
Glyma.01G026700	GGAT	4.576365858	4.139831453	5.0165525760000005	5.545534931000001	0.0	0.0	5.0165525760000005	5.545534931000001	4.1398314534696325	4.576365858	0.9510752033705963	0.9510752034243517	0.9999999999992457
Glyma.01G115900	CAB29.1, Chloro	1.27908	0.865265167	4750.143661	7021.909565000001	0.0	0.0	4750.143661	7021.909565000001	0.8652651672126568	1.2790799999999998	0.8224360894306096	0.8224360895316912	0.9999999999999295
Glyma.01G180800	PSBP1, Chloro	1.58139	1.403779341	6677.961166	7522.878205	0.0	0.0	6677.961166	7522.878205	1.403779340901976	1.58139	0.942131980768933	0.9421319807359861	0.9999999999999063
Glyma.02G064700	CAB6, Chloro	1.27908	0.9070579329999999	4782.363425	6743.808954000001	0.0	0.0	4782.363425	6743.808954000001	0.9070579328942536	1.27908	0.8420667565063431	0.8420667329502768	0.9999998892801465
Glyma.02G080800	CAB1, Chloro	1.27908	1.001245517	4353.176915	5561.13504	0.0	0.0	4353.176915	5561.13504	1.001245517037148	1.27908	0.8844885618512943	0.8844883651165699	0.9999991116756909
Glyma.02G094900	PSBP Like-1, Chloro	1.346985	1.125194053	329.7388509	394.73483250000004	0.0	0.0	329.7388509	394.73483250000004	1.1251940530977502	1.3469850000000003	0.9139078254053209	0.9139077871878386	0.9999998529326688
Glyma.02G249600	RCA, Chloro	1.2	0.898773885	3434.2446609999997	4585.239583	0.0	0.0	3434.2446609999997	4585.239583	0.8987738848977829	1.2	0.8654339705618816	0.865433970512668	1.0000000000000002
Glyma.02G282500	PSBP1, Chloro	1.264275	0.80288324	2921.415481	4600.261122999999	0.0	0.0	2921.415481	4600.261122999999	0.8028832404262795	1.264275	0.7968544593001549	0.7968544595114776	0.9999999999985315
Glyma.02G309500	LHCA3	1.27908	1.164749113	10663.33593	11710.04087	0.0	0.0	10663.33593	11710.04087	1.1647491134114545	1.27908	0.954225003207573	0.9542250033762549	0.9999999999999962
Glyma.03G068100	RCA, Chloro	1.2	1.1546417420000001	374.540912	389.2541539	0.0	0.0	374.540912	389.2541539	1.1546417421545723	1.2	0.980899998018625	0.9808999980843474	0.9999999999999998
Glyma.03G114600	PSBP1, Chloro	1.07397	0.905513456	6475.924940999999	7680.668976999999	0.0	0.0	6475.924940999999	7680.668976999999	0.9055134558867958	1.07397	0.9182076377150071	0.918207637657575	0.9999999999999335
Glyma.03G123100	PPD6	1.346985	0.891141228	350.2265956	529.3773376	0.0	0.0	350.2265956	529.3773376	0.8911412283211914	1.346985	0.8133631302310586	0.8133631303764538	0.9999999999943668
Glyma.03G185800	T3PI	0.027777778	0.022236115	502.6665666	627.9406267999999	0.0	0.0	502.6665666	627.9406267999999	0.02223611548466387	0.027777778000000003	0.8946913496171329	0.894691358957029	0.999999998472353
Glyma.03G230300	PSBP	1.346985	1.174047282	112.89242990000001	129.521538	0.0	0.0	112.89242990000001	129.521538	1.1740472823049055	1.346985	0.9335623134998894	0.9335623091203011	0.9999999842052423
Glyma.03G253500	VDE, Chloro	0.163	0.153720088	8871.229413	9406.775716	0.0	0.0	8871.229413	9406.775716	0.15372008836773673	0.163	0.9711101085302537	0.9711101096921033	0.9999999999999994
Glyma.03G262300	LHCA2	1.27908	0.689311441	1942.976299	3605.369035	0.0	0.0	1942.976299	3605.369035	0.689311440909105	1.27908	0.7340998978326057	0.7340998977547282	0.9999999998175836
Glyma.04G014500	PPD3, Chloro	1.346985	0.8847913390000001	1069.7339769999999	1628.537213	0.0	0.0	1069.7339769999999	1628.537213	0.8847913388205424	1.3469849999999999	0.8104289653834537	0.8104289653011804	0.9999999999996968
Glyma.04G015900	GAPDH	14.54213822	11.43885112	363.4477867	462.04884500000003	0.0	0.0	363.4477867	462.04884500000003	11.43885112394227	14.54213822	0.8868326367800706	0.8868326369275289	0.9999999999780558
Glyma.04G020300	PETE, Chloro	1.4292036	1.407892071	9506.77387	9650.679706	0.0	0.0	9506.77387	9650.679706	1.4078920711608094	1.4292036	0.9925110989041936	0.9925110989605898	0.9999999999990867
Glyma.04G051200	GDH	37.42118172	32.56776973	159.82605519999998	183.6441336	0.0	0.0	159.82605519999998	183.6441336	32.56776972934544	37.42118172	0.9328550240455218	0.9328550240361406	0.9999999999999998
Glyma.04G066000	ATPSynthase	4.645454545	4.20564011	7039.162943	7775.29951	0.0	0.0	7039.162943	7775.29951	4.205640110004576	4.645454545	0.9514122175003562	0.9514122175008662	0.9999999999999735
Glyma.04G112800	PSI_PSAK	0.405	0.340070132	6444.886311	7675.413713	0.0	0.0	6444.886311	7675.413713	0.3400701321850689	0.405	0.9163280078984607	0.9163280081478328	0.9999999999999876
Glyma.04G167900	CAB4, Chloro	1.27908	0.686177035	2712.808378	5056.856705	0.0	0.0	2712.808378	5056.856705	0.6861770349753741	1.27908	0.7323688650022862	0.7323687157193183	0.9999989266565674
Glyma.04G209900	PPD2, Chloro	1.346985	1.018580035	68.07374093	90.02170159	0.0	0.0	68.07374093	90.02170159	1.0185800346700162	1.346985	0.8695039219090481	0.8695038105927868	0.9999994993572205
Glyma.04G215800	PSAN, Chloro	0.829305	0.702417889	6306.293476	7445.483368000001	0.0	0.0	6306.293476	7445.483368000001	0.7024178891583522	0.829305	0.9190049218761415	0.9190035820636626	0.9999933824906799
Glyma.04G241000	PPD4, Chloro	1.346985	0.866608081	824.6499838	1281.768752	0.0	0.0	824.6499838	1281.768752	0.8666080809784347	1.346985	0.802087260911117	0.802087260901095	0.9999999999998027
Glyma.04G242000	Thioredoxin	5.85	5.520602452	182.371947	193.2535261	0.0	0.0	182.371947	193.2535261	5.520602451506834	5.8500000000000005	0.9714312484718938	0.9714312484284923	0.9999999999999997
Glyma.04G249700	PSBS, Chloro	1.2603600000000001	1.263317599	8842.907444	8822.204987000001	0.0	0.0	8842.907444	8822.204987000001	1.263317599459882	1.2603600000000001	1.0011799824902499	1.0011799826676806	0.9999999999823627
Glyma.05G022900	PSAIII, Chloro	1.087785	0.685685779	3470.242554	5505.2589880000005	0.0	0.0	3470.242554	5505.2589880000005	0.6856857787855428	1.087785	0.7937129663478112	0.7937125216679155	0.9999972165165477
Glyma.05G025300	Ru5PE	0.038732393999999996	0.024497293	275.8105045	436.0808731000001	0.0	0.0	275.8105045	436.0808731000001	0.024497293480659127	0.038732393999999996	0.7952579359006213	0.7952579435910758	0.9999999994079357
Glyma.05G048000	F-ATPase	1.327272727	1.095663639	3842.4758460000003	4654.7254219999995	0.0	0.0	3842.4758460000003	4654.7254219999995	1.0956636390295875	1.327272727	0.9085616436655584	0.9085616436778026	0.9999999999999203
Glyma.05G112100	FDXC2	0.88695	0.606989045	658.7904764	962.6437535	0.0	0.0	658.7904764	962.6437535	0.6069890454475171	0.88695	0.8272491390715935	0.8272491393765666	0.9999999999999999
Glyma.05G132600	Thioredoxin O1, Mito	5.85	4.882993514	3495.29058	4187.4825009999995	0.0	0.0	3495.29058	4187.4825009999995	4.88299351415009	5.85	0.9136168284277189	0.9136168284417486	0.9999999999999629
Glyma.05G149400	CAB	1.27908	0.7576227179999999	2142.055538	3616.391553	0.0	0.0	2142.055538	3616.391553	0.7576227179471681	1.27908	0.7696122740912037	0.769612261806927	0.9999999293126136
Glyma.06G017900	GO	0.001346901	0.001253674	8626.373738	9267.856693000002	0.0	0.0	8626.373738	9267.856693000002	0.0012536740477290347	0.001346901	0.9647668296252153	0.964766847985417	0.9999999999779039
Glyma.06G094300	G6PI	0.039783002000000005	0.049825220999999996	158.8793916	126.8574243	0.0	0.0	158.8793916	126.8574243	0.049825220625905324	0.039783002000000005	1.1191239432775018	1.1191239390760421	1.0000000000000004
Glyma.06G323700	SPS	0.041627585	0.072052887	969.7355014000001	560.2516235	0.0	0.0	969.7355014000001	560.2516235	0.07205288716498671	0.041627585	1.3156461516877593	1.3156460923951832	0.9999999296033114
Glyma.07G019700	PSAVI-1, Chloro	0.69345	0.591096133	7631.807523	8953.326931	0.0	0.0	7631.807523	8953.326931	0.5910961330475234	0.69345	0.9232316568136427	0.9232316568347491	0.9999999999448741
Glyma.07G028500	Diphosphatase	0.15796129	0.21135417899999998	85.96518031	64.24841401	0.0	0.0	85.96518031	64.24841401	0.21135417871539455	0.15796129	1.1567441422465645	1.1567441414526833	0.9999999999740645
Glyma.07G142700	FBPase	5.281887818	4.414585373	4344.989828	5198.619327	-13.63961069	-13.87811366	3752.3501309406993	4477.149028048213	3.8124531147241636	4.548861423224267	0.9142094406961565	0.8495693860814878	0.9280105317236774
Glyma.08G044100	PGM, Cyto	0.16582914599999998	0.214437833	2125.4953140000002	1643.688837	0.0	0.0	2125.4953140000002	1643.688837	0.2144378332525123	0.16582914599999998	1.1371945301362898	1.1371945308060074	0.9999999999999999
