Glyma_ID	Description	U	L	D
Glyma.01G026700	GGAT	0.0761	0.799	0.0001
Glyma.01G115900	"CAB29.1, Chloro"	0.095	0.293	0.000001
Glyma.01G180800	"PSBP1, Chloro"	0.0883	0.3	0.00001
Glyma.02G064700	"CAB6, Chloro"	0.0538	0.293	0.000001
Glyma.02G080800	"CAB1, Chloro"	0.0398	0.293	0.00001
Glyma.02G094900	"PSBP Like-1, Chloro"	0.0458	0.3	0.00001
Glyma.02G249600	"RCA, Chloro"	0.138	0.3	0.000000001
Glyma.02G282500	"PSBP1, Chloro"	0.0864	0.3	0.000001
Glyma.02G309500	LHCA3	0.097	0.3	0.00001
Glyma.03G068100	"RCA, Chloro"	0.138	0.3	0.00001
Glyma.03G114600	"PSBP1, Chloro"	0.0946	0.3	0.000001
Glyma.03G123100	PPD6	0.0893	0.3	0.0000001
Glyma.03G185800	T3PI	0.0689	0.293	0.00000001
Glyma.03G230300	PSBP	0.0528	0.3	0.00001
Glyma.03G253500	"VDE, Chloro"	0.108	0.3	0.0000001
Glyma.03G262300	LHCA2	0.0859	0.3	0.00000001
Glyma.04G014500	"PPD3, Chloro"	0.091	0.3	0.000001
Glyma.04G015900	GAPDH	0.0725	0.305	0.0001
Glyma.04G020300	"PETE, Chloro"	0.0816	0.3	0.00001
Glyma.04G051200	GDH	0.205	0.3	0.0001
Glyma.04G066000	ATPSynthase	0.0895	0.214	0.0001
Glyma.04G112800	PSI_PSAK	0.103	0.3	0.0000001
Glyma.04G167900	"CAB4, Chloro"	0.0744	0.293	1.00E-10
Glyma.04G209900	"PPD2, Chloro"	0.0492	0.3	0.000001
Glyma.04G215800	"PSAN, Chloro"	0.0389	0.3	0.000001
Glyma.04G241000	"PPD4, Chloro"	0.0986	0.3	0.0000001
Glyma.04G242000	Thioredoxin	0.103	0.686	0.00001
Glyma.04G249700	"PSBS, Chloro"	0.0595	0.3	0.001
Glyma.05G022900	"PSAIII, Chloro"	0.0643	0.3	0.000000001
Glyma.05G025300	Ru5PE	0.0725	0.305	0.00000001
Glyma.05G048000	F-ATPase	0.102	0.214	0.0000001
Glyma.05G112100	FDXC2	0.266	0.3	0.00000001
Glyma.05G132600	"Thioredoxin O1, Mito"	0.105	0.686	0.0000001
Glyma.05G149400	CAB	0.0689	0.293	0.00000001
Glyma.06G017900	GO	0.0761	0.799	0.000000001
Glyma.06G094300	G6PI	0.123	0.3	0.000000001
Glyma.06G323700	SPS	0.0761	0.799	1.00E-10
Glyma.07G019700	"PSAVI-1, Chloro"	0.0744	0.3	0.000001
Glyma.07G028500	Diphosphatase	0.0761	0.799	0.0000001
Glyma.07G142700	FBPase	0.0833	0.3	0.000001
Glyma.08G044100	"PGM, Cyto"	0.135	0.266	0.0000001
Glyma.08G074000	CAB	0.0612	0.293	0.00000001
Glyma.08G087100	"Thioredoxin O1, Mito"	0.105	0.686	0.0000001
Glyma.08G088000	TRX	0.0761	0.799	0.000001
Glyma.08G097300	GO	0.0761	0.799	0.0000001
Glyma.08G126800	"FDX1, Chloro"	0.13	0.3	0.000001
Glyma.08G165400	PGK	0.0984	0.3	0.00001
Glyma.08G165500	PGK	0.073	0.3	0.0000001
Glyma.08G173700	"PSBR, Chloro"	0.217	0.3	0.000001
Glyma.08G302600	SGAT	0.134	0.799	0.0000001
Glyma.09G087700	"PSAK, Chloro"	0.0758	0.3	0.00000001
Glyma.09G154700	"CAB26, Chloro"	0.0689	0.293	0.0000001
Glyma.09G250800	"PSAXI, Chloro"	0.0739	0.3	0.0000001
Glyma.09G255200	HPR	0.168	0.3	0.0000001
Glyma.10G042000	"PSAIV-A, Chloro"	0.0732	0.3	0.00000001
Glyma.10G086600	SPP	0.13	0.3	1.00E-10
Glyma.10G161600	TRP26	0.127	0.686	0.000001
Glyma.10G210700	PGM	0.298	0.3	0.000000001
Glyma.10G249000	"PSAII-1, Chloro"	0.091	0.3	0.0000001
Glyma.10G268500	Aldolase	0.224	0.408	0.00000001
Glyma.10G293500	Transketolase	0.0706	0.3	0.00001
Glyma.11G100800	"HCF136, Chloro"	0.0804	0.3	0.000000001
Glyma.11G169700	PFK	0.103	0.3	0.000000001
Glyma.11G226900	SBPase	0.085	0.3	0.000001
Glyma.12G199400	PET	0.12	0.3	0.000001
Glyma.12G202500	"PSB27-1, Chloro"	0.049	0.3	0.000001
Glyma.12G215100	"PSBQ Like - 2, Chloro"	0.0818	0.3	0.0000001
Glyma.13G028200	psbA	1.08	0.3	0.000001
Glyma.13G204800	APTC1	0.11	0.214	0.0000001
Glyma.13G222300	GHMT	0.0761	0.799	0.00001
Glyma.14G067000	"RCA, Chloro"	0.138	0.3	0.00000001
Glyma.15G012500	GLK	0.0809	0.485	0.000001
Glyma.15G114600	Cytochrome B	0.581	0.204	0.000001
Glyma.15G136200	Ri5PI	0.0761	0.799	0.000001
Glyma.16G168000	FBPase	0.132	0.3	0.000001
Glyma.17G015600	AGPase	0.0943	0.3	0.000001
Glyma.19G017200	"G6PI, Cyto"	0.11	0.3	0.000001
Glyma.19G022900	SS	0.0761	0.799	0.000001
Glyma.19G046800	RuBisCO	0.0761	0.799	0.000001
Glyma.19G089100	PRK	0.1	0.3	0.000001
Glyma.19G251000	"VDE, Chloro"	0.108	0.3	0.0000001
